Pos	Nr	Athlete	NOC	R1	SF	Final			
1	3056	Matt Centrowitz	USA	3:39.31 (5 h1)	3:39.61 (3 h2)	3:50.00 (1)	Gold		
2	2009	Taoufik Makhloufi	ALG	3:46.82 (1 h2)	3:39.88 (2 h1)	3:50.11 (2)	Silver		
3	2814	Nick Willis	NZL	3:38.55 (6 h3)	3:39.96 (3 h1)	3:50.24 (3)	Bronze		
4	2317	Ayanleh Souleiman	DJI	3:39.25 (3 h1)	3:39.46 (2 h2)	3:50.29 (4)			
5	2744	Abdalaati Iguider	MAR	3:38.40 (3 h3)	3:40.11 (6 h1)	3:50.58 (5)			
6	2682	Asbel Kiprop	KEN	3:38.97 (1 h1)	3:39.73 (1 h1)	3:50.87 (6)			
7	2349	David Bustos	ESP	3:39.73 (7 h1)	3:56.54 (11 h2)	3:51.06 (7)			
8	3051	Ben Blankenship	USA	3:38.92 (9 h3)	3:39.99 (4 h1)	3:51.09 (8)			
9	2038	Ryan Gregson	AUS	3:39.13 (2 h1)	3:40.02 (4 h2)	3:51.39 (9)			
10	2191	Nate Brannen	CAN	3:47.07 (4 h2)	3:40.20 (7 h1)	3:51.45 (10)			
11	3022	Ronald Musagala	UGA	3:38.45 (4 h3)	3:40.37 (5 h2)	3:51.68 (11)			
12	2458	Charlie Grice	GBR	3:48.51 (10 h2)	3:40.05 (5 h1)	3:51.73 (12)			
13	2689	Ronald Kwemoi	KEN	3:38.33 (2 h3)	3:39.42 (1 h2)	3:56.76 (13)			
6 h2 r2/3	2394	Mekonnen Gebremedhin	ETH	3:47.33 (5 h2)	3:40.69 (6 h2)	–			
7 h2 r2/3	2519	Homiyu Tesfaye	GER	3:47.44 (7 h2)	3:40.76 (7 h2)	–			
8 h1 r2/3	2177	Benson Seurei	BRN	3:38.82 (7 h3)	3:40.53 (8 h1)	–			
8 h2 r2/3	2207	Charles Philibert-Thiboutot	CAN	3:40.04 (8 h1)	3:40.79 (8 h2)	–			
9 h1 r2/3	2301	Jakub Holuša	CZE	3:38.31 (1 h3)	3:40.83 (9 h1)	–			
9 h2 r2/3	2741	Fouad El-Kaam	MAR	3:39.51 (6 h1)	3:40.93 (9 h2)	–			
10 h1 r2/3	2401	Dawit Wolde	ETH	3:39.29 (10 h3)	3:41.42 (10 h1)	–			
10 h2 r2/3	2468	Chris O'Hare	GBR	3:39.26 (4 h1)	3:44.27 (10 h2)	–			
11 h1 r2/3	2803	Henrik Ingebrigtsen	NOR	3:38.50 (5 h3)	3:42.51 (11 h1)	–			
12 h1 r2/3	2094	Pieter-Jan Hannes	BEL	3:38.89 (8 h3)	3:43.71 (12 h1)	–			
13 h1 r2/3	2745	Brahim Kaazouzi	MAR	3:47.39 (6 h2)	3:48.66 (13 h1)	–
