Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2287	Asbel Kiprop	KEN	3:41.28 (1 h2)	3:37.04 (1 h1)	3:33.11 (1)	Gold		
2	2547	Nick Willis	NZL	3:36.01 (2 h1)	3:37.54 (4 h2)	3:34.16 (2)	Silver		
3	1720	Mehdi Baala	FRA	3:35.87 (1 h1)	3:37.47 (1 h2)	3:34.21 (3)	Bronze		
4	1582	Juan Carlos Higuero	ESP	3:41.70 (3 h2)	3:37.31 (3 h1)	3:34.44 (4)			
5	2393	Abdalaati Iguider	MAR	3:36.48 (4 h3)	3:37.21 (2 h1)	3:34.66 (5)			
6	2725	Juan van Deventer	RSA	3:36.32 (1 h3)	3:37.75 (6 h1)	3:34.77 (6)			
7	1251	Belal Mansoor Ali	BRN	3:36.84 (6 h3)	3:37.60 (5 h1)	3:35.23 (7)			
8	1786	Andy Baddeley	GBR	3:36.47 (3 h3)	3:37.47 (2 h2)	3:35.37 (8)			
9	2255	Augustine Choge	KEN	3:35.47 (2 h4)	3:37.54 (3 h2)	3:35.50 (9)			
10	2685	Daham Najim Bashir	QAT	3:36.05 (3 h1)	3:37.77 (7 h1)	3:37.68 (10)			
11	2100	Christian Obrist	ITA	3:35.91 (3 h4)	3:37.47 (4 h1)	3:39.87 (11)			
5 h2 r2/3	3194	Bernard Lagat	USA	3:41.98 (4 h2)	3:37.79 (5 h2)	–			
6 h2 r2/3	1672	Deresse Mekonnen	ETH	3:36.22 (5 h1)	3:37.85 (6 h2)	–			
7 h2 r2/3	1011	Tarek Boukensa	ALG	3:36.11 (4 h1)	3:39.73 (7 h2)	–			
8 h1 r2/3	1909	Carsten Schlangen	GER	3:36.34 (5 h4)	3:37.94 (8 h1)	–			
8 h2 r2/3	1298	Kevin Sullivan	CAN	3:36.05 (4 h4)	3:40.30 (8 h2)	–			
9 h1 r2/3	1287	Nate Brannen	CAN	3:41.45 (2 h2)	3:39.10 (9 h1)	–			
9 h2 r2/3	2401	Mohamed Moustaoui	MAR	3:34.80 (1 h4)	3:40.90 (9 h2)	–			
10 h1 r2/3	1680	Mulugeta Wendimu	ETH	3:36.67 (6 h4)	3:40.16 (10 h1)	–			
10 h2 r2/3	1581	Arturo Casado	ESP	3:36.42 (2 h3)	3:41.57 (10 h2)	–			
11 h1 r2/3	1006	Antar Zerguelaïne	ALG	3:42.30 (5 h2)	3:40.64 (11 h1)	–			
11 h2 r2/3	3278	Leo Manzano	USA	3:36.67 (6 h1)	3:50.33 (11 h2)	–			
12 h1 r2/3	3196	Lopez Lomong	USA	3:36.70 (5 h3)	3:41.00 (12 h1)	–
