Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2469	Hicham El Guerrouj	MAR	3:37.86 (1 h1)	3:40.87 (1 h2)	3:34.18 (1)	Gold		
2	2348	Bernard Lagat	KEN	3:39.80 (2 h2)	3:35.84 (2 h1)	3:34.30 (2)	Silver		
3	2749	Rui Silva	POR	3:37.98 (2 h1)	3:40.99 (2 h2)	3:34.68 (3)	Bronze		
4	2344	Timothy Kiptanui	KEN	3:37.71 (2 h3)	3:41.04 (3 h2)	3:35.61 (4)			
5	3172	Ivan Heshko	UKR	3:37.78 (3 h3)	3:36.20 (5 h1)	3:35.82 (5)			
6	1802	Mike East	GBR	3:37.37 (1 h3)	3:36.46 (6 h1)	3:36.33 (6)			
7	1576	Reyes Estévez	ESP	3:39.71 (1 h2)	3:36.05 (4 h1)	3:36.63 (7)			
8	2570	Gert-Jan Liefers	NED	3:40.10 (6 h2)	3:36.00 (3 h1)	3:37.17 (8)			
9	2481	Adil Kaouch	MAR	3:39.88 (4 h2)	3:35.69 (1 h1)	3:38.26 (9)			
10	1677	Mulugeta Wendimu	ETH	3:39.96 (5 h2)	3:41.14 (4 h2)	3:38.33 (10)			
11	1014	Kamal Boulahfane	ALG	3:38.59 (4 h1)	3:41.27 (5 h2)	3:39.02 (11)			
12	2358	Isaac Songok	KEN	3:38.89 (5 h1)	3:37.10 (7 h1)	3:41.72 (12)			
6 h2 r2/3	2642	Nick Willis	NZL	3:39.80 (3 h2)	3:41.46 (6 h2)	–			
7 h2 r2/3	1577	Álvaro Fernández	ESP	3:38.34 (3 h1)	3:42.01 (7 h2)	–			
8 h1 r2/3	2725	Manuel Damião	POR	3:39.94 (8 h3)	3:37.16 (8 h1)	–			
8 h2 r2/3	1594	Juan Carlos Higuero	ESP	3:38.36 (6 h3)	3:42.13 (8 h2)	–			
9 h1 r2/3	1238	Hudson de Souza	BRA	3:40.78 (7 h2)	3:38.83 (9 h1)	–			
9 h2 r2/3	1324	Kevin Sullivan	CAN	3:39.30 (6 h1)	3:42.86 (9 h2)	–			
10 h1 r2/3	2135	James Nolan	IRL	3:41.14 (8 h1)	3:42.61 (10 h1)	–			
10 h2 r2/3	2460	Youssef Baba	MAR	3:38.71 (7 h3)	3:42.96 (10 h2)	–			
11 h1 r2/3	1269	Rashid Ramzi	BRN	3:37.93 (4 h3)	3:44.60 (11 h1)	–			
11 h2 r2/3	2813	Johan Cronje	RSA	3:40.99 (8 h2)	3:44.41 (11 h2)	–			
12 h1 r2/3	3335	Grant Robison	USA	3:53.66 (11 h1)	3:47.03 (12 h1)	–			
12 h2 r2/3	1514	Michal Šneberger	CZE	3:39.68 (7 h1)	3:47.03 (12 h2)	–	
