Pos	Nr	Athlete	NOC	Qualifying	Final			
1	618	Ruth Beitía	ESP	1.94 (=1)	1.97 (1)	Gold		
2	457	Mirela Demireva	BUL	1.94 (=9)	1.97 (2)	Silver		
3	566	Blanka Vlašić	CRO	1.94 (=1)	1.97 (3)	Bronze		
4	1353	Chaunté Lowe	USA	1.94 (=1)	1.97 (4)			
5	875	Alessia Trost	ITA	1.94 (=7)	1.93 (5)			
6	981	Levern Spencer	LCA	1.94 (=1)	1.93 (6)			
=7	1231	Sofie Skoog	SWE	1.94 (=7)	1.93 (=7)			
=7	755	Marie-Laurence Jungfleisch	GER	1.94 (12)	1.93 (=7)			
9	1110	Kamila Lićwinko	POL	1.94 (=9)	1.93 (9)			
=10	706	Morgan Lake	GBR	1.94 (=15)	1.93 (=10)			
=10	1358	Inika McPherson	USA	1.94 (=1)	1.93 (=10)			
=10	1279	Iryna Herashchenko	UKR	1.94 (13)	1.93 (=10)			
=13	987	Airinė Palšytė	LTU	1.94 (11)	1.88 (=13)			
=13	1390	Svetlana Radzivil	UZB	1.94 (=1)	1.88 (=13)			
=13	1334	Vashti Cunningham	USA	1.94 (=15)	1.88 (=13)			
16	871	Desiree Rossit	ITA	1.94 (=15)	1.88 (16)			
17	498	Alyxandria Treasure	CAN	1.94 (14)	1.88 (17)
