Pos	Nr	Walker	NOC	Time	Warnings			
1	1344	Chen Ding	CHN	1-18:46	1	OR	Gold	
2	2013	Erick Barrondo	GUA	1-18:57	2		Silver	
3	1362	Wang Zhen	CHN	1-19:25	0		Bronze	
4	1342	Cai Zelin	CHN	1-19:44	1			
5	1623	Miguel Ángel López	ESP	1-19:49	0			
6	2506	Eder Sánchez	MEX	1-19:52	2			
7	1064	Jared Tallent	AUS	1-20:02	0			
8	1764	Bertrand Moulinet	FRA	1-20:12	0			
9	2094	Robbie Heffernan	IRL	1-20:18	1			
10	2064	Irfan Kolothum Thodi	IND	1-20:21	2			
11	2718	João Vieira	POR	1-20:41	0			
12	1168	Denis Simanovich	BLR	1-20:42	1			
13	1289	Iñaki Gómez	CAN	1-20:58	1			
14	2600	Erik Tysse	NOR	1-21:00	0			
15	1984	Alexandros Papamikhail	GRE	1-21:12	0			
16	1170	Ivan Trotsky	BLR	1-21:23	1			
17	2356	Kim Hyeon-Seop	KOR	1-21:36	0			
18	2221	Isamu Fujisawa	JPN	1-21:48	0			
19	2673	Dawid Tomala	POL	1-21:55	0			
20	1411	Éider Arévalo	COL	1-22:00	0			
21	1903	André Höhne	GER	1-22:02	1			
22	1020	Juan Manuel Cano	ARG	1-22:10	1			
23	2989	Anton Kučmín	SVK	1-22:25	0			
24	2671	Grzegorz Sudoł	POL	1-22:40	0			
25	2233	Takumi Saito	JPN	1-22:43	0			
26	3206	Trevor Barron	USA	1-22:46	2			
27	1419	James Rendón	COL	1-22:54	1			
28	2644	Rafał Augustyn	POL	1-23:17	0			
29	3128	Ruslan Dmytrenko	UKR	1-23:21	0			
30	2350	Byeon Yeong-Jun	KOR	1-23:26	2			
31	2042	Máté Helebrandt	HUN	1-23:32	0			
32	2068	Gurmeet Singh	IND	1-23:34	2			
33	2503	Isaac Palma	MEX	1-23:35	1			
34	2272	Georgy Sheyko	KAZ	1-23:52	1			
35	2235	Yusuke Suzuki	JPN	1-23:53	0			
36	1042	Chris Erickson	AUS	1-24:19	0			
37	1216	Caio Bonfim	BRA	1-24:45	0			
38	2430	Marius Žiūkas	LTU	1-24:45	0			
39	1334	Yerko Araya	CHI	1-25:27	1			
40	2142	Giorgio Rubino	ITA	1-25:28	0			
41	2067	Baljinder Singh	IND	1-25:39	2			
42	1571	Mauricio Arteaga	ECU	1-25:51	0			
43	2392	Arnis Rumbenieks	LAT	1-26:26	0			
44	2502	Ever Palma	MEX	1-26:30	0			
45	3138	Ivan Losev	UKR	1-26:50	0			
46	2950	Predrag Filipović	SRB	1-27:22	0
AC	2813	Andrey Krivov	RUS	1-24:17	0	DQ		4
AC	3134	Nazar Kovalenko	UKR	1-22:54	1	DQ		5
