Pos	Nr	Athlete	NOC	R1	Final			
1	22338	Ezekiel Kemboi	KEN	8:18.20 (2 h1)	8:05.81 (1)	Gold		
2	2343	Brimin Kipruto	KEN	8:15.11 (1 h2)	8:06.11 (2)	Silver		
3	2345	Paul Kipsiele Koech	KEN	8:24.68 (3 h3)	8:06.64 (3)	Bronze		
4	2768	Musa Amer	QAT	8:23.94 (1 h3)	8:07.18 (4)			
5	1599	Luis Miguel Martín	ESP	8:16.90 (3 h2)	8:11.64 (5)			
6	2582	Simon Vroemen	NED	8:15.28 (2 h2)	8:13.25 (6)			
7	1772	Bob Tahri	FRA	8:18.98 (3 h1)	8:14.26 (7)			
8	2472	Ali Ezzine	MAR	8:20.18 (5 h1)	8:15.58 (8)			
9	1598	Eliseo Martín	ESP	8:21.88 (6 h1)	8:15.77 (9)			
10	1753	Vincent Le Dauphin	FRA	8:20.13 (5 h2)	8:16.15 (10)			
11	3300	Daniel Lincoln	USA	8:19.62 (4 h1)	8:16.86 (11)			
12	2689	Radosław Popławski	POL	8:22.16 (7 h1)	8:17.32 (12)			
13	3077	Mustafa Mohamed	SWE	8:19.37 (4 h2)	8:18.05 (13)			
14	1595	Antonio Jiménez	ESP	8:24.13 (2 h3)	8:22.63 (14)			
15	2772	Khamis Abdullah Seifeddine	QAT	8:17.89 (1 h1)	8:36.66 (15)			
4 h3 r1/2	2484	Zouhair El-Ouardi	MAR	8:27.55 (4 h3)	–			
5 h3 r1/2	1796	Justin Chaston	GBR	8:28.35 (5 h3)	–			
6 h2 r1/2	2715	Jan Zakrzewski	POL	8:23.72 (6 h2)	–			
6 h3 r1/2	2270	Yoshitaka Iwamizu	JPN	8:29.07 (6 h3)	–			
7 h2 r1/2	2950	Roman Usov	RUS	8:24.19 (7 h2)	–			
7 h3 r1/2	1082	Peter Nowill	AUS	8:29.14 (7 h3)	–			
8 h1 r1/2	1106	Martin Pröll	AUT	8:26.01 (8 h1)	–			
8 h2 r1/2	3197	Vadym Slobodeniuk	UKR	8:24.84 (8 h2)	–			
8 h3 r1/2	3258	Anthony Famiglietti	USA	8:31.59 (8 h3)	–			
9 h1 r1/2	2502	Ion Luchianov	MDA	8:26.17 (9 h1)	–			
9 h2 r1/2	2467	Abdelatif Chemlal	MAR	8:29.36 (9 h2)	–			
9 h3 r1/2	2760	Alex Greaux	PUR	8:33.62 (9 h3)	–			
10 h1 r1/2	3008	Boštjan Buč	SLO	8:37.29 (10 h1)	–			
10 h2 r1/2	1671	Tewodros Shiferaw	ETH	8:33.15 (10 h2)	–			
10 h3 r1/2	2625	Jim Svenøy	NOR	8:33.97 (10 h3)	–			
11 h1 r1/2	2926	Pavel Potapovich	RUS	8:52.65 (11 h1)	–			
11 h2 r1/2	1019	Abdelhakim Maazouz	ALG	8:36.12 (11 h2)	–			
11 h3 r1/2	2748	Manuel da Silva	POR	8:38.31 (11 h3)	–			
12 h2 r1/2	3262	Robert Gary	USA	8:38.01 (12 h2)	–			
12 h3 r1/2	1676	Luleseged Wale	ETH	8:50.73 (12 h3)	–			
13 h2 r1/2	2835	Ruben Ramolefi	RSA	8:46.17 (13 h2)	–			
13 h3 r1/2	2666	Jakub Czaja	POL	8:56.24 (13 h3)	–			
14 h2 r1/2	2411	Bashar Omar	KUW	8:48.65 (14 h2)	–
