Pos	Nr	Athlete	NOC	R1	Final			
1	2684	Conseslus Kipruto	KEN	8:21.40 (1 h3)	8:03.28 (1)	Gold		
2	3076	Evan Jager	USA	8:25.86 (1 h2)	8:04.28 (2)	Silver		
3	2430	Mahiedine Mekhissi-Benabbad	FRA	8:26.32 (3 h2)	8:11.52 (3)	Bronze		
4	2740	Soufiane El-Bakkali	MAR	8:25.17 (2 h1)	8:14.35 (4)			
5	2425	Yoann Kowal	FRA	8:23.49 (5 h3)	8:16.75 (5)			
6	2683	Brimin Kipruto	KEN	8:26.25 (2 h2)	8:18.79 (6)			
7	3052	Hillary Bor	USA	8:25.01 (1 h1)	8:22.74 (7)			
8	3055	Donn Cabral	USA	8:21.96 (3 h3)	8:25.81 (8)			
9	2130	Altobeli Silva	BRA	8:26.59 (6 h3)	8:26.30 (9)			
10	2200	Matt Hughes	CAN	8:26.27 (4 h1)	8:36.83 (10)			
11	2340	Yemane Haileselassie	ERI	8:26.72 (4 h2)	8:40.68 (11)			
AC r2/2	3014	Jacob Araptany	UGA	8:21.53 (2 h3)	– (AC)			
AC r2/2	2743	Hamid Ezzine	MAR	8:27.69 (5 h2)	– (AC)			
AC r2/2	2678	Ezekiel Kemboi	KEN	8:25.51 (3 h1)	8:08.47 (AC)			
AC r2/2	2990	Amor Ben Yahia	TUN	8:23.12 (4 h3)	8:21.67 (AC)			
5 h1 r1/2	2364	Sebastián Martos	ESP	8:28.44 (5 h1)	–			
6 h1 r1/2	3016	Benjamin Kiplagat	UGA	8:30.76 (6 h1)	–			
6 h2 r1/2	2172	John Koech	BRN	8:28.81 (6 h2)	–			
7 h1 r1/2	2995	Halil Akkaş	TUR	8:33.12 (7 h1)	–			
7 h2 r1/2	2391	Chala Beyo	ETH	8:32.06 (7 h2)	–			
7 h3 r1/2	2748	Hicham Al-Siguéni	MAR	8:27.82 (7 h3)	–			
8 h1 r1/2	2389	Hailemariyam Amare	ETH	8:35.01 (8 h1)	–			
8 h2 r1/2	3005	Aras Kaya	TUR	8:32.35 (8 h2)	–			
8 h3 r1/2	2003	Hicham Bouchicha	ALG	8:33.61 (8 h3)	–			
9 h1 r1/2	2167	Nelson Cherutich	BRN	8:35.87 (9 h1)	–			
9 h2 r1/2	3120	José Gregorio Peña	VEN	8:32.38 (9 h2)	–			
9 h3 r1/2	2205	Taylor Milne	CAN	8:34.38 (9 h3)	–			
10 h1 r1/2	2599	Yuri Floriani	ITA	8:40.80 (10 h1)	–			
10 h2 r1/2	2211	Chris Winter	CAN	8:33.95 (10 h2)	–			
10 h3 r1/2	2859	Krystian Zalewski	POL	8:34.52 (10 h3)	–			
11 h1 r1/2	2658	Kazuya Shiojiri	JPN	8:40.98 (11 h1)	–			
11 h2 r1/2	2013	Bilal Tabti	ALG	8:38.87 (11 h2)	–			
11 h3 r1/2	2312	Ole Hesselbjerg	DEN	8:40.08 (11 h3)	–			
12 h1 r1/2	2467	Rob Mullett	GBR	8:48.19 (12 h1)	–			
12 h2 r1/2	2594	Abdoullah Bamoussa	ITA	8:42.81 (12 h2)	–			
12 h3 r1/2	2315	Mohamed Ismail Ibrahim	DJI	8:53.10 (12 h3)	–			
13 h1 r1/2	2092	Jeroen D'hoedt	BEL	8:48.29 (13 h1)	–			
13 h2 r1/2	2379	Kaur Kivistik	EST	8:44.25 (13 h2)	–			
13 h3 r1/2	2350	Fernando Carro	ESP	8:53.17 (13 h3)	–			
14 h1 r1/2	2183	Mitko Tsenov	BUL	8:54.79 (14 h1)	–			
14 h2 r1/2	2946	Abdalla Yousif	SUD	8:52.20 (14 h2)	–			
15 h2 r1/2	2366	Abdel Aziz Merzougui	ESP	9:03.40 (15 h2)	–			
AC h1 r1/2	2010	Ali Massaoudi	ALG	8:49.89 (AC h1)	–
