Pos	Nr	Athlete	NOC	Time (A)			
1	1657	Kenenisa Bekele	ETH	27:05.10		
2	1672	Sileshi Sihine	ETH	27:09.39		
3	1553	Zersenay Tadese	ERI	27:22.57		
4	3158	Boniface Kiprop	UGA	27:25.48			
5	1665	Haile Gebrselassie	ETH	27:27.70			
6	2346	John Korir	KEN	27:41.91			
7	2352	Moses Mosop	KEN	27:46.61			
8	1771	Smail Sghyr	FRA	27:57.09			
9	1601	José Manuel Martínez	ESP	27:57.61			
10	3090	Fabiano Naasi	TAN	28:01.94			
11	3156	Wilson Kipkemei Busienei	UGA	28:10.75			
12	3235	Dan Browne	USA	28:14.53			
13	2337	Charles Kamathi	KEN	28:17.08			
14	2571	Kamiel Maase	NED	28:23.39			
15	3221	Abdi Abdirahman	USA	28:26.26			
16	1554	Yonas Kifle	ERI	28:29.87			
17	2977	Dieudonné Disi	RWA	28:43.19			
18	2459	Mohamed Amyn	MAR	28:55.96			
19	2283	Ryuji Ono	JPN	29:06.50			
20	2534	Teodoro Vega	MEX	29:06.55			
21	2514	José David Galván	MEX	29:38.05
