Pos	Nr	Athlete	NOC	Time (A)			
1	1378	Xing Huina	CHN	30:24.36	Gold		
2	1660	Ejegayehu Dibaba	ETH	30:24.98	Silver		
3	1675	Derartu Tulu	ETH	30:26.42	Bronze		
4	1668	Werknesh Kidane	ETH	30:28.30			
5	2567	Lornah Kiplagat	NED	30:31.92			
6	1374	Sun Yingjie	CHN	30:54.37			
7	2425	Jeļena Prokopčuka	LAT	31:04.10			
8	2879	Lidiya Grigoryeva	RUS	31:04.62			
9	2362	Lucy Kabuu	KEN	31:05.90			
10	3011	Helena Javornik	SLO	31:06.63			
11	2778	Mihaela Botezan	ROU	31:11.24			
12	1793	Kathy Butler	GBR	31:41.13			
13	2295	Megumi Tanaka	JPN	31:42.18			
14	2130	Marie Davenport	IRL	31:50.49			
15	1912	Sabrina Mockenhaupt	GER	32:00.85			
16	2360	Alice Timbilil	KEN	32:12.57			
17	2332	Sally Barsosio	KEN	32:14.00			
18	2268	Harumi Hiroyama	JPN	32:15.12			
19	3254	Elva Dryer	USA	32:18.16			
20	2073	Anikó Kálovics	HUN	32:21.47			
21	3319	Kate O'Neill	USA	32:24.04			
22	2857	Galina Bogomolova	RUS	32:25.10			
23	2511	Adriana Fernández	MEX	32:29.57			
24	1070	Benita Johnson	AUS	32:32.01			
25	1077	Haley McGregor	AUS	33:35.27			
26	2266	Kayoko Fukushi	JPN	33:48.66			
27	2494	Natalia Cercheş	MDA	34:04.97	
