Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2005	Kirani James	GRN	45.23 (1 h2)	44.59 (1 h2)	43.94 (1)	Gold		
2	1564	Luguelín Santos	DOM	45.04 (1 h1)	44.78 (1 h3)	44.46 (2)	Silver		
3	3044	Lalonde Gordon	TTO	45.43 (2 h6)	44.58 (1 h1)	44.52 (3)	Bronze		
4	1100	Chris Brown	BAH	45.40 (1 h5)	44.67 (2 h2)	44.79 (4)			
5	1133	Kévin Borlée	BEL	45.14 (1 h7)	44.84 (2 h3)	44.81 (5)			
6	1132	Jonathan Borlée	BEL	44.43 (1 h3)	44.99 (3 h2)	44.83 (6)			
7	1108	Demetrius Pinder	BAH	44.92 (1 h4)	44.94 (2 h1)	44.98 (7)			
8	1060	Steven Solomon	AUS	45.18 (1 h6)	44.97 (3 h1)	45.14 (8)			
3 h3 r2/3	3241	Bryshon Nellum	USA	45.29 (2 h4)	45.02 (3 h3)	–			
4 h1 r2/3	2968	Rabah Yousif	SUD	45.46 (3 h7)	45.13 (4 h1)	–			
4 h2 r2/3	3235	Tony McQuay	USA	45.48 (2 h5)	45.31 (4 h2)	–			
4 h3 r2/3	1105	Ramon Miller	BAH	45.57 (2 h2)	45.11 (4 h3)	–			
5 h1 r2/3	1519	Pavel Maslák	CZE	44.91 (2 h3)	45.15 (5 h1)	–			
5 h2 r2/3	1816	Nigel Levine	GBR	45.58 (3 h5)	45.64 (5 h2)	–			
5 h3 r2/3	1831	Martyn Rooney	GBR	45.36 (2 h7)	45.31 (5 h3)	–			
6 h1 r2/3	2124	Tabarie Henry	ISV	45.43 (4 h4)	45.19 (6 h1)	–			
6 h2 r2/3	3345	Alberth Bravo	VEN	45.61 (5 h4)	46.22 (6 h2)	–			
6 h3 r2/3	2177	Dane Hyatt	JAM	45.14 (4 h3)	45.59 (6 h3)	–			
7 h1 r2/3	2835	Pavel Trenikhin	RUS	45.00 (3 h3)	45.35 (7 h1)	–			
7 h2 r2/3	2790	Oscar Pistorius	RSA	45.44 (2 h1)	46.54 (7 h2)	–			
7 h3 r2/3	2374	Yousef Masrahi	KSA	45.43 (3 h4)	45.91 (7 h3)	–			
8 h1 r2/3	1842	Conrad Williams	GBR	46.12 (3 h6)	45.53 (8 h1)	–			
8 h3 r2/3	2078	Liemarvin Bonevacia	IOA	45.60 (3 h2)	1:36.42 (8 h3)	–
