Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2696	David Rudisha	KEN	1:45.09 (1 h3)	1:43.88 (1 h3)	1:42.15 (1)	Gold		
2	2009	Taoufik Makhloufi	ALG	1:49.17 (1 h5)	1:43.85 (2 h1)	1:42.61 (2)	Silver		
3	3091	Clayton Murphy	USA	1:46.18 (4 h3)	1:44.30 (2 h3)	1:42.93 (3)	Bronze		
4	2415	Pierre-Ambroise Bosse	FRA	1:48.12 (1 h7)	1:43.85 (1 h1)	1:43.41 (4)			
5	2695	Ferguson Rotich	KEN	1:46.00 (2 h2)	1:44.65 (4 h1)	1:43.55 (5)			
6	2844	Marcin Lewandowski	POL	1:46.35 (2 h6)	1:44.56 (3 h1)	1:44.20 (6)			
7	2681	Alfred Kipketer	KEN	1:46.61 (1 h4)	1:44.38 (1 h2)	1:46.02 (7)			
8	3050	Boris Berian	USA	1:45.87 (3 h1)	1:44.56 (2 h2)	1:46.15 (8)			
3 h2 r2/3	2005	Yassine Hethat	ALG	1:46.81 (3 h4)	1:44.81 (3 h2)	–			
3 h3 r2/3	2843	Adam Kszczot	POL	1:45.83 (1 h2)	1:44.70 (3 h3)	–			
4 h2 r2/3	2107	Amel Tuka	BIH	1:45.72 (2 h1)	1:45.24 (4 h2)	–			
4 h3 r2/3	2317	Ayanleh Souleiman	DJI	1:45.48 (1 h1)	1:45.19 (4 h3)	–			
5 h1 r2/3	2749	Mostafa Smaili	MAR	1:49.29 (2 h5)	1:45.78 (5 h1)	–			
5 h2 r2/3	2911	Reinhardt van Rensburg	RSA	1:45.67 (2 h3)	1:45.33 (5 h2)	–			
5 h3 r2/3	2583	Mark English	IRL	1:46.40 (3 h6)	1:45.93 (5 h3)	–			
6 h1 r2/3	2134	Kléberson Davide	BRA	1:46.14 (4 h1)	1:46.19 (6 h1)	–			
6 h2 r2/3	2204	Brandon McBride	CAN	1:45.99 (1 h6)	1:45.41 (6 h2)	–			
6 h3 r2/3	2595	Giordano Benedetti	ITA	1:49.40 (3 h5)	1:46.41 (6 h3)	–			
7 h1 r2/3	2870	Andrés Arroyo	PUR	1:46.17 (3 h2)	1:46.74 (7 h1)	–			
7 h2 r2/3	2311	Andreas Bube	DEN	1:46.67 (2 h4)	1:45.87 (7 h2)	–			
7 h3 r2/3	2002	Amine Belferar	ALG	1:48.40 (3 h7)	1:46.55 (7 h3)	–			
8 h1 r2/3	2470	Michael Rimmer	GBR	1:45.99 (3 h3)	1:46.80 (8 h1)	–			
8 h2 r2/3	2388	Mohammed Aman	ETH	1:48.33 (2 h7)	1:46.14 (8 h2)	–			
8 h3 r2/3	2336	Hamada Mohamed	EGY	1:46.65 (4 h2)	1:48.17 (8 h3)	–
