Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2794	Caster Semenya	RSA	2:00.71 (2 h1)	1:57.67 (1 h2)	1:57.23 (1)	Gold		
2	2886	Yekaterina Poistogova	RUS	2:01.08 (2 h6)	1:59.45 (2 h1)	1:57.53 (2)	Silver		
3	2329	Pamela Jelimo	KEN	2:00.54 (1 h4)	1:59.42 (1 h1)	1:57.59 (3)	Bronze		
4	3300	Alysia Johnson-Montaño	USA	2:00.47 (1 h1)	1:58.42 (3 h2)	1:57.93 (4)			
5	1130	Francine Niyonsaba	BDI	2:07.57 (1 h3)	1:58.67 (1 h3)	1:59.63 (5)			
6	2323	Janeth Jepkosgei	KEN	2:01.04 (1 h6)	1:58.26 (2 h2)	2:00.19 (6)			
2 h3 r2/3	2285	Margarita Mukashova	KAZ	2:02.12 (5 h6)	1:59.20 (2 h3)	–			
3 h1 r2/3	1428	Rosibel García	COL	2:01.30 (3 h6)	2:00.16 (3 h1)	–			
3 h3 r2/3	2464	Malika Akkaoui	MAR	2:01.78 (3 h2)	2:00.32 (3 h3)	–			
4 h1 r2/3	3315	Alice Schmidt	USA	2:01.65 (1 h2)	2:01.63 (4 h1)	–			
4 h2 r2/3	2469	Halima Hachlaf	MAR	2:00.99 (3 h1)	1:58.84 (4 h2)	–			
4 h3 r2/3	2338	Cherono Koech	KEN	2:08.39 (2 h5)	2:00.53 (4 h3)	–			
5 h1 r2/3	3173	Nataliya Lupu	UKR	2:08.35 (1 h5)	2:01.63 (5 h1)	–			
5 h2 r2/3	2074	Tintu Luka	IND	2:01.75 (2 h2)	1:59.69 (5 h2)	–			
5 h3 r2/3	1260	Genzeb Shumi	BRN	2:07.77 (3 h3)	2:01.76 (5 h3)	–			
6 h1 r2/3	1486	Rose Mary Almanza	CUB	2:01.19 (4 h1)	2:01.70 (6 h1)	–			
6 h2 r2/3	2767	Elena Mirela Lavric	ROU	2:01.65 (4 h6)	2:00.46 (6 h2)	–			
6 h3 r2/3	1318	Jessica Smith	CAN	2:07.75 (2 h3)	2:01.90 (6 h3)	–			
7 h1 r2/3	1878	Lynsey Sharp	GBR	2:01.41 (2 h4)	2:01.78 (7 h1)	–			
7 h2 r2/3	2009	Neisha Bernard-Thomas	GRN	2:03.23 (6 h6)	2:00.68 (7 h2)	–			
7 h3 r2/3	3291	Geena Gall	USA	2:03.85 (4 h4)	2:05.76 (7 h3)	–			
8 h1 r2/3	1990	Eleni Filandra	GRE	2:02.29 (3 h4)	2:04.42 (8 h1)	–	
AC	2844	Yelena Arzhakova	RUS	2:08.39 (AC h5)	1:58.13 (AC h2)	1:59.21 (AC)		DQ
AC	2890	Mariya Savinova	RUS	2:01.56 (AC h2)	1:58.57 (AC h3)	1:56.19 (AC)		DQ
