Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2319	David Rudisha	KEN	1:45.90 (1 h2)	1:44.35 (1 h2)	1:40.91 (1)	Gold		
2	1211	Nijel Amos	BOT	1:45.90 (1 h1)	1:44.54 (2 h1)	1:41.73 (2)	Silver		
3	2306	Timothy Kitum	KEN	1:45.72 (2 h3)	1:44.63 (2 h3)	1:42.53 (3)	Bronze		
4	3252	Duane Solomon	USA	1:46.05 (1 h7)	1:44.93 (3 h3)	1:42.82 (4)			
5	3254	Nick Symmonds	USA	1:45.91 (1 h4)	1:44.87 (3 h2)	1:42.95 (5)			
6	1678	Mohammed Aman	ETH	1:47.34 (1 h6)	1:44.34 (1 h3)	1:43.20 (6)			
7	2967	Abubaker Kaki Khamis	SUD	1:45.51 (1 h3)	1:44.51 (1 h1)	1:43.32 (7)			
8	1827	Andrew Osagie	GBR	1:46.42 (3 h2)	1:44.74 (2 h2)	1:43.77 (8)			
3 h1 r2/3	2655	Adam Kszczot	POL	1:45.99 (3 h4)	1:45.34 (3 h1)	–			
4 h1 r2/3	2293	Antony Chemut	KEN	1:47.42 (2 h6)	1:45.63 (4 h1)	–			
4 h2 r2/3	2658	Marcin Lewandowski	POL	1:47.64 (5 h1)	1:45.08 (4 h2)	–			
4 h3 r2/3	1745	Pierre-Ambroise Bosse	FRA	1:46.03 (4 h4)	1:45.10 (4 h3)	–			
5 h1 r2/3	2545	Robert Lathouwers	NED	1:46.06 (2 h7)	1:45.85 (5 h1)	–			
5 h2 r2/3	2803	Yury Borzakovsky	RUS	1:46.29 (5 h4)	1:45.09 (5 h2)	–			
5 h3 r2/3	2789	André Olivier	RSA	1:46.42 (3 h7)	1:45.44 (5 h3)	–			
6 h1 r2/3	1624	Luis Alberto Marco	ESP	1:46.86 (3 h1)	1:46.19 (6 h1)	–			
6 h2 r2/3	1622	Kevin López	ESP	1:48.27 (3 h5)	1:46.66 (6 h2)	–			
6 h3 r2/3	1634	Antonio Reina	ESP	1:47.44 (3 h6)	1:45.84 (6 h3)	–			
7 h1 r2/3	1230	Fabiano Peçanha	BRA	1:46.29 (2 h1)	1:46.29 (7 h1)	–			
7 h2 r2/3	2754	Musaeb Abdulrahman Balla	QAT	1:46.37 (2 h2)	1:47.52 (7 h2)	–			
7 h3 r2/3	1290	Geoff Harris	CAN	1:45.97 (2 h4)	1:46.14 (7 h3)	–			
8 h2 r2/3	1588	Hamada Mohamed	EGY	1:48.05 (1 h5)	1:48.18 (8 h2)	–			
8 h3 r2/3	2375	Abdulaziz Ladan	KSA	1:46.09 (3 h3)	1:48.98 (8 h3)	–			
9 h2 r2/3	1471	Andy González	CUB	1:46.24 (4 h3)	1:53.46 (9 h2)	–			
AC h1 r2/3	2085	Sajjad Moradi	IRI	1:48.23 (2 h5)	– (AC h1)	–
