Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2246	Wilfred Bungei	KEN	1:44.90 (1 h1)	1:46.23 (1 h1)	1:44.65 (1)	Gold		
2	2914	Ismail Ahmed Ismail	SUD	1:45.87 (2 h5)	1:44.91 (2 h2)	1:44.70 (2)	Silver		
3	2251	Alfred Kirwa Yego	KEN	1:46.04 (2 h4)	1:44.73 (1 h2)	1:44.82 (3)	Bronze		
4	1295	Gary Reed	CAN	1:46.02 (3 h5)	1:45.85 (2 h3)	1:44.94 (4)			
5	1257	Youssef Saad Kamel	BRN	1:46.94 (2 h7)	1:44.95 (3 h2)	1:44.95 (5)			
6	1487	Yeimer López	CUB	1:45.66 (1 h8)	1:46.40 (2 h1)	1:45.88 (6)			
7	1007	Nabil Madi	ALG	1:45.75 (3 h8)	1:45.63 (1 h3)	1:45.96 (7)			
8	1008	Nadjim Manseur	ALG	1:45.62 (3 h1)	1:45.54 (4 h2)	1:47.19 (8)			
3 h1 r2/3	2773	Yury Borzakovsky	RUS	1:45.15 (2 h1)	1:46.53 (3 h1)	–			
3 h3 r2/3	2276	Boaz Lalang	KEN	1:45.72 (2 h8)	1:45.87 (3 h3)	–			
4 h1 r2/3	2395	Amine Laâlou	MAR	1:47.86 (1 h6)	1:46.74 (4 h1)	–			
4 h3 r2/3	1580	Manuel Olmedo	ESP	1:45.78 (1 h5)	1:45.91 (4 h3)	–			
5 h1 r2/3	3238	Nick Symmonds	USA	1:46.01 (1 h4)	1:46.96 (5 h1)	–			
5 h2 r2/3	2035	Sajjad Moradi	IRI	1:46.10 (6 h8)	1:46.08 (5 h2)	–			
5 h3 r2/3	1251	Belal Mansoor Ali	BRN	1:45.95 (5 h8)	1:46.37 (5 h3)	–			
6 h1 r2/3	2319	Mohamed Al-Salhi	KSA	1:47.02 (2 h2)	1:47.14 (6 h1)	–			
6 h2 r2/3	2742	Mbulaeni Mulaudzi	RSA	1:47.64 (2 h3)	1:46.24 (6 h2)	–			
6 h3 r2/3	1827	Michael Rimmer	GBR	1:47.61 (1 h3)	1:48.07 (6 h3)	–			
7 h1 r2/3	2597	Marcin Lewandowski	POL	1:45.89 (4 h8)	1:47.24 (7 h1)	–			
7 h2 r2/3	1613	Antonio Reina	ESP	1:46.30 (3 h4)	1:46.40 (7 h2)	–			
7 h3 r2/3	3055	Abraham Chepkirwok	UGA	1:47.93 (2 h6)	1:49.16 (7 h3)	–			
8 h1 r2/3	2324	Mohamed Al-Azemi	KUW	1:46.94 (1 h7)	1:47.65 (8 h1)	–			
8 h2 r2/3	1224	Fabiano Peçanha	BRA	1:46.54 (4 h1)	1:47.07 (8 h2)	–			
8 h3 r2/3	2912	Abubaker Kaki Khamis	SUD	1:46.98 (1 h2)	1:49.19 (8 h3)	–
