Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1170	Caster Semenya	RSA	1:59.31 (1 h2)	1:58.15 (1 h3)	1:55.28 (1)	Gold		
2	370	Francine Niyonsaba	BDI	1:59.84 (1 h8)	1:59.59 (2 h1)	1:56.49 (2)	Silver		
3	959	Margaret Wambui	KEN	1:59.66 (2 h3)	1:59.21 (1 h1)	1:56.89 (3)	Bronze		
4	468	Melissa Bishop	CAN	1:58.38 (1 h4)	1:59.05 (2 h2)	1:57.02 (4)			
5	1102	Joanna Jóźwik	POL	2:01.58 (1 h7)	1:58.93 (1 h2)	1:57.37 (5)			
6	724	Lynsey Sharp	GBR	2:00.83 (1 h1)	1:58.65 (2 h3)	1:57.69 (6)			
7	386	Marina Arzamasova	BLR	1:58.44 (2 h4)	1:58.87 (4 h3)	1:59.10 (7)			
8	1345	Kate Grace	USA	1:59.96 (2 h5)	1:58.79 (3 h3)	1:59.57 (8)			
3 h1 r2/3	1381	Ajeé Wilson	USA	1:59.44 (2 h2)	1:59.75 (3 h1)	–			
3 h2 r2/3	1202	Selina Büchel	SUI	1:59.00 (1 h3)	1:59.35 (3 h2)	–			
4 h1 r2/3	1302	Nataliya Pryshchepa	UKR	1:59.80 (3 h3)	1:59.95 (4 h1)	–			
4 h2 r2/3	1228	Lovisa Lindh	SWE	2:00.04 (2 h8)	1:59.41 (4 h2)	–			
5 h1 r2/3	377	Renée Eykens	BEL	2:00.00 (3 h5)	2:00.45 (5 h1)	–			
5 h2 r2/3	716	Shelayna Oskan-Clarke	GBR	1:59.67 (3 h2)	1:59.45 (5 h2)	–			
5 h3 r2/3	382	Noélie Yarigo	BEN	1:59.12 (4 h4)	1:59.78 (5 h3)	–			
6 h1 r2/3	1272	Halima Nakaayi	UGA	1:59.78 (5 h4)	2:00.63 (6 h1)	–			
6 h2 r2/3	637	Habitam Alemu	ETH	1:58.99 (3 h4)	2:00.07 (6 h2)	–			
6 h3 r2/3	942	Winny Chebet	KEN	2:01.65 (2 h7)	2:01.90 (6 h3)	–			
7 h1 r2/3	872	Yusneysi Santiusti	ITA	2:00.45 (2 h6)	2:00.80 (7 h1)	–			
7 h2 r2/3	957	Eunice Sum	KEN	1:59.83 (1 h5)	2:00.88 (7 h2)	–			
7 h3 r2/3	1195	Amela Terzić	SRB	2:00.99 (2 h1)	2:03.81 (7 h3)	–			
8 h1 r2/3	1093	Angelika Cichocka	POL	2:00.42 (1 h6)	2:01.29 (8 h1)	–			
8 h3 r2/3	529	Wang Chunyu	CHN	1:59.93 (4 h2)	2:04.05 (8 h3)	–
AC	1292	Nataliya Lupu	UKR	1:59.91 (AC h5)	2:02.10 (AC h2)	–		DQ
