Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2860	Yury Borzakovsky	RUS	1:46.20 (1 h5)	1:44.29 (2 h2)	1:44.45 (1)	Gold		
2	2828	Mbulaeni Mulaudzi	RSA	1:45.72 (1 h1)	1:46.09 (2 h1)	1:44.61 (2)	Silver		
3	1530	Wilson Kipketer	DEN	1:44.69 (1 h3)	1:44.63 (1 h3)	1:44.65 (3)	Bronze		
4	2466	Mouhssin Chehibi	MAR	1:46.77 (2 h9)	1:44.62 (3 h2)	1:45.16 (4)			
5	2333	Wilfred Bungei	KEN	1:44.84 (1 h4)	1:44.28 (1 h2)	1:45.31 (5)			
6	2838	Hezekiél Sepeng	RSA	1:46.82 (2 h8)	1:44.75 (4 h2)	1:45.53 (6)			
7	1023	Djabir Saïd-Guerni	ALG	1:45.94 (3 h2)	1:45.76 (1 h1)	1:45.61 (7)			
8	3041	Ismail Ahmed Ismail	SUD	1:45.17 (2 h4)	1:45.45 (2 h3)	1:52.49 (8)			
3 h1 r2/3	1618	Antonio Reina	ESP	1:46.66 (=1 h7)	1:46.17 (3 h1)	–			
3 h3 r2/3	2353	Joseph Mutua	KEN	1:45.65 (1 h2)	1:45.54 (3 h3)	–			
4 h1 r2/3	3172	Ivan Heshko	UKR	1:45.92 (2 h6)	1:46.66 (4 h1)	–			
4 h3 r2/3	2190	Andrea Longo	ITA	1:46.75 (1 h8)	1:45.97 (4 h3)	–			
5 h1 r2/3	1715	Nicolas Aïssat	FRA	1:45.31 (4 h4)	1:47.14 (5 h1)	–			
5 h2 r2/3	2577	Bram Som	NED	1:45.72 (5 h4)	1:45.52 (5 h2)	–			
5 h3 r2/3	1139	Jean-Patrick Nduwimana	BDI	1:45.38 (3 h3)	1:46.15 (5 h3)	–			
6 h1 r2/3	1655	Berhanu Alemu	ETH	1:46.26 (2 h5)	1:47.40 (6 h1)	–			
6 h2 r2/3	2423	Dmitrijs Miļkēvičs	LAT	1:46.66 (=1 h7)	1:46.62 (6 h2)	–			
6 h3 r2/3	1838	Ricky Soos	GBR	1:45.70 (2 h2)	1:46.74 (6 h3)	–			
7 h1 r2/3	2482	Amine Laâlou	MAR	1:45.88 (1 h6)	1:47.53 (7 h1)	–			
7 h2 r2/3	1321	Gary Reed	CAN	1:46.74 (1 h9)	1:47.38 (7 h2)	–			
7 h3 r2/3	1242	Osmar dos Santos	BRA	1:45.90 (4 h3)	1:48.23 (7 h3)	–			
8 h1 r2/3	1892	René Herms	GER	1:45.83 (2 h1)	1:47.68 (8 h1)	–			
8 h3 r2/3	3290	Jonathan Johnson	USA	1:45.31 (2 h3)	1:50.10 (8 h3)	–			
AC h2 r2/3	3095	Samwel Mwera	TAN	1:45.30 (3 h4)	– (AC h2)	–
