Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2624	Omar McLeod	JAM	13.27 (1 h1)	13.15 (1 h2)	13.05 (1)	Gold		
2	2368	Orlando Ortega	ESP	13.32 (1 h2)	13.32 (1 h1)	13.17 (2)	Silver		
3	2413	Dimitri Bascou	FRA	13.31 (1 h3)	13.23 (1 h3)	13.24 (3)	Bronze		
4	2428	Pascal Martinot-Lagarde	FRA	13.36 (2 h5)	13.25 (2 h2)	13.29 (4)			
5	3045	Devon Allen	USA	13.41 (2 h4)	13.36 (3 h2)	13.31 (5)			
6	2194	Johnathan Cabral	CAN	13.63 (4 h2)	13.41 (4 h2)	13.40 (6)			
7	2296	Milan Trajkovic	CYP	13.59 (3 h2)	13.31 (2 h3)	13.41 (7)			
AC r3/3	3047	Ronnie Ash	USA	13.31 (1 h5)	13.36 (2 h1)	– (AC)			
3 h1 r2/3	2832	Damian Czykier	POL	13.63 (5 h5)	13.50 (3 h1)	–			
3 h3 r2/3	3092	Jeff Porter	USA	13.50 (2 h1)	13.45 (3 h3)	–			
4 h1 r2/3	2552	Balázs Baji	HUN	13.52 (2 h2)	13.52 (4 h1)	–			
4 h3 r2/3	2629	Andrew Riley	JAM	13.52 (3 h3)	13.46 (4 h3)	–			
5 h1 r2/3	2469	Andy Pozzi	GBR	13.5 (2 h3)	13.67 (5 h1)	–			
5 h2 r2/3	2520	Gregor Traber	GER	13.5 (3 h4)	13.43 (5 h2)	–			
5 h3 r2/3	2531	Kostas Douvalidis	GRE	13.41 (1 h4)	13.47 (5 h3)	–			
6 h1 r2/3	2614	Deuce Carter	JAM	– (AC h2)	13.69 (6 h1)	–			
6 h2 r2/3	2445	Lawrence Clarke	GBR	13.55 (3 h5)	13.46 (6 h2)	–			
6 h3 r2/3	2354	Yidiel Contreras	ESP	13.62 (5 h4)	13.54 (6 h3)	–			
7 h1 r2/3	2279	Yordan O'Farril	CUB	13.56 (4 h4)	13.70 (7 h1)	–			
7 h2 r2/3	2891	Antonio Alkana	RSA	13.64 (5 h3)	13.55 (7 h2)	–			
7 h3 r2/3	2793	Antwon Hicks	NGR	13.70 (4 h1)	14.26 (7 h3)	–			
8 h2 r2/3	2307	Petr Svoboda	CZE	13.65 (6 h3)	13.67 (8 h2)	–			
9 h2 r2/3	2138	João Vítor de Oliveira	BRA	13.63 (4 h3)	13.85 (9 h2)	–			
AC h1 r2/3	2548	Jeffrey Julmis	HAI	13.66 (3 h1)	– (AC h1)	–			
AC h3 r2/3	2154	Éder Souza	BRA	13.61 (4 h5)	– (AC h3)	–
